type,address,totalGas,totalFee,calls,rank0,rank
CONTRACT,0x07202292009dec5ea9b99c7005dc8e3ce05bfb73,1072517,828424000676530,1,0.0011119292097491451,0.0017086268948496358
CONTRACT,0x6a226cfb5d66e71757c4eb7066d75031da9955d0,1072517,763461433807872,1,0.0010247350005246978,0.0015746414129954019
CONTRACT,0x372516d2f464907d9fc7953f966d033803096b7a,1072517,817003285898260,1,0.0010966000711102337,0.0016850716376231153
CONTRACT,0x989aeb4d175e16225e39e87d0d97a3360524ad80,1121677,839335190988539,2,0.0011265744532610988,0.0017311312563923922
CONTRACT,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,900913,747876253481102.1,1,0.0010038162231469409,0.0015424969335432691
CONTRACT,0xf403c135812408bfbe8713b5a23a04b3d48aae31,2332852,1686661511641019,8,0.0022638747793662633,0.0034787442408043615
CONTRACT,0x62b9c7356a2dc64a1969e19c23e4f579f9810aa7,900925,714497218101480,1,0.0009590141358081603,0.0014736525766352309
CONTRACT,0xa46944d0845f786117d0e1034fc10585747c861b,111777,60012977191644,1,0.00008055075933206084,0.00012377693884520715
CONTRACT,0x3e342768feaa34c88429de9429a2d9150b9e6db6,365439,247283686224222,1,0.00033190969066879746,0.0005100233172810276
CONTRACT,0xfc0a2ffdea23804494aa1707741e5a6eaa2f8017,1079656,732605210881590.8,6,0.0009833190884479784,0.0015110003640612028
CONTRACT,0xcf50b810e57ac33b91dcf525c6ddd9881b139332,1134172,847895907821245.9,3,0.0011380648387338812,0.0017487877595931806
CONTRACT,0x3b2d30734491ad77880d31e8afe2a4d8ac135a9c,744982,519239787719100,1,0.000696935248565125,0.0010709335623404815
CONTRACT,0xe029881c3277b7b4935781b3d9fa0fe7ec4177cd,366578,250687394080231.3,2,0.0003364782234291456,0.0005170434745679232
CONTRACT,0x25e12482a25cf36ec70fda2a09c1ed077fc21616,2566769,1888662364526728,1,0.0025350048390149846,0.003895371583495092
CONTRACT,0xf5dccd4cc45e1c3397a80babaa1071f556539776,471138,361090562945728,1,0.00048466382429314896,0.00074475032932607
CONTRACT,0xca35c3fe456a87e6ce7827d1d784741613463204,1835686,2057469775168016.2,1,0.00276158191857917,0.000025502679091377438
CONTRACT,0x1abf1f891790788c925afd4a5df7f6abc66a6c5f,163836,316656338730448,1,0.00042502321540547315,6.04081102763517e-7
CONTRACT,0x40cb6360a3f79cab1cd3033abf3b22b579187a10,105775,213321669561786,1,0.0002863251128220542,4.347283387778825e-7
CONTRACT,0x930811b82da359bcd8529e83bf22062747581066,105775,212872310188098.03,1,0.0002857219726270934,4.338125890819471e-7
CONTRACT,0x0fe38dcc905ec14f6099a83ac5c93bf2601300cf,1010299,657551109486786,1,0.0008825797960274253,0.00002692368347131046
CONTRACT,0xca8d0747b5573d69653c3ac22242e6341c36e4b4,4665032,4768039867478044,1,0.006399769680221292,0.00019522922905682925
CONTRACT,0xefaddde5b43917ccc738ade6962295a0b343f7ce,1079503,799395857045240,1,0.0010729669865614225,0.000032731571299699106
CONTRACT,0xd6681e74eea20d196c15038c580f721ef2ab6320,1748514,1334380007965403.8,1,0.0017910346713160658,0.000054636703438833194
CONTRACT,0x69522fb5337663d3b4dfb0030b881c1a750adb4f,1439529,1184706587937629.8,1,0.0015901396616156912,0.000048508267600527814
CONTRACT,0x4f37a9d177470499a2dd084621020b023fcffc1f,2478227,2184335012504178,1,0.0029318632756869262,0.00008943843850839903
CONTRACT,0x8b3efbefa6ed222077455d6f0dcda3bf4f3f57a6,357101,308605478505318,1,0.00041421717086714615,0.00004326306796442359
CONTRACT,0x506f594ceb4e33f5161139bae3ee911014df9f7f,683956,778697838806640,1,0.0010451856438617603,0.00010916480707733415
CONTRACT,0x87fe17697d0f14a222e8bef386a0860ecffdd617,2603083,3037894213372338,1,0.004077529512928202,0.00042587910123439933
CONTRACT,0x1764ee18e8b3cca4787249ceb249356192594585,5348443,6225983256021570,1,0.008356653882704927,0.0008728138529983447
CONTRACT,0x5eee3091f747e60a045a2e715a4c71e600e31f6e,5169643,6002502629051419,1,0.00805669319018729,0.0008414843458224861
CONTRACT,0xd2002373543ce3527023c75e7518c274a51ce712,3499613,3762669899233646,5,0.0050503396378968465,0.0005274846200613736
CONTRACT,0xe61fb97ef6ebfba12b36ffd7be785c1f5a2de66b,1529517,1642425231691522.2,1,0.0022044998556963588,0.00023024981529590704
CONTRACT,0x2005995a71243be9fb995dab4742327dc76564df,1994880,2965909681202136,1,0.003980910264928617,0.0004157876675931362
CONTRACT,0x13b0d85ccb8bf860b6b79af3029fca081ae9bef2,902185,1366297558935862.5,4,0.001833875121615342,0.0001915397757621132
CONTRACT,0x07cdebf81977e111b08c126defa07818d0045b80,1436266,2190850457681964.5,1,0.002940608451830765,0.0003071329540539897
CONTRACT,0x04fd6bec7d45efa99a27d29fb94b55c56dd07223,4153132,6355529877085749,1,0.00853053425298383,0.0008909748535703563
CONTRACT,0x98ee851a00abee0d95d08cf4ca2bdce32aeaaf7f,1301426,1833651654126773,5,0.002461168233976009,0.0002570576404533832
CONTRACT,0x0c9d8c7e486e822c29488ff51bff0167b4650953,2438687,3008024872403617.5,1,0.0040374382158726435,0.0004216917506577309
CONTRACT,0x64379c265fc6595065d7d835aaaa731c0584db80,1860246,2342183638462292,1,0.003143731229510402,0.0003283481888485298
CONTRACT,0xd3b17f862956464ae4403ccf829ce69199856e1e,4968320,5480476063442799,1,0.007356017466051793,0.0007683020066866266
CONTRACT,0x1a83348f9ccfd3fe1a8c0adba580ac4e267fe495,4772165,5969215829275612,1,0.0080120149035375,0.0008368179053950713
CONTRACT,0xc9fe0c63af9a39402e8a5514f9c43af0322b665f,1331391,1471319557971146,5,0.0019748379960591203,0.00020626269611994088
CONTRACT,0x92e606fd8b99f99928f690a5beb20f6f6e3ec0f3,1114298,5071381051159918,1,0.006806920996914563,0.0003674846813850912
CONTRACT,0x01480a0c134cecc309015a564c7e292ba6e0f358,1114608,4619966513844608,1,0.006201022315398359,0.00033477407933321554
CONTRACT,0x1a60b40601bb5aa192389b05f80a7beade6d77d7,1114453,4693277536402982,1,0.006299422008445234,0.0003400863754306893
CONTRACT,0x5c845cab3f05958b965a88139c0cc885aaaa4b3e,1114608,4702219542187872,1,0.006311424168471796,0.0003407343350522706
